,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
WU LEIKO,DOCTOR DREDD,TARR BLACK JACK,STARSHINE II/BRANDY ,SHANG-CHI,ROM SPACEKNIGHT,RESTON CLIVE,SMITH SIR DENIS NAY,JACKSON STEVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCTOR DREDD,SHANG-CHI,STARSHINE II/BRANDY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTON CLIVE,DOCTOR DREDD,TARR BLACK JACK,STARSHINE II/BRANDY ,SHANG-CHI,ROM SPACEKNIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACKSON STEVE,DOCTOR DREDD,TARR BLACK JACK,STARSHINE II/BRANDY ,SHANG-CHI,ROM SPACEKNIGHT,RESTON CLIVE,SMITH SIR DENIS NAY,TORPEDO III/BROCK JO,KILLBURN MACK,JONES TAMMY ANNE,JONES LORRAINE LORR,JONES DANIEL DANNY,JONES NELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSTIQUE/RAVEN DARKH,BLOB/FRED J. DUKES,TORPEDO III/BROCK JO,PYRO/ALLERDYCE JOHNN,AVALANCHE/DOMINIC PE,ROGUE /,DESTINY II/IRENE ADL,ROM SPACEKNIGHT,HYBRID/JAMES JIMMY M,KILLBURN MACK,JONES TAMMY ANNE,JACKSON STEVE,STARSHINE II/BRANDY ,JONES DANIEL DANNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOB/FRED J. DUKES,SUPREME ONE,ANGEL/WARREN KENNETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORPEDO III/BROCK JO,BLOB/FRED J. DUKES,ROM SPACEKNIGHT,KILLBURN MACK,JONES TAMMY ANNE,JACKSON STEVE,STARSHINE II/BRANDY ,JONES DANIEL DANNY,ROGUE /,DESTINY II/IRENE ADL,HYBRID/JAMES JIMMY M,MYSTIQUE/RAVEN DARKH,JONES LORRAINE LORR,CLARK JOHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRO/ALLERDYCE JOHNN,BLOB/FRED J. DUKES,TORPEDO III/BROCK JO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALANCHE/DOMINIC PE,BLOB/FRED J. DUKES,TORPEDO III/BROCK JO,PYRO/ALLERDYCE JOHNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGUE /,BLOB/FRED J. DUKES,TORPEDO III/BROCK JO,PYRO/ALLERDYCE JOHNN,AVALANCHE/DOMINIC PE,ROM SPACEKNIGHT,KILLBURN MACK,JONES TAMMY ANNE,JACKSON STEVE,STARSHINE II/BRANDY ,JONES DANIEL DANNY,MALICE IV,COLOSSUS II/PETER RA,HAVOK/ALEX SUMMERS ,SUMMERS MADELYNE MA,SUMMERS NATHAN CHRI,STORM/ORORO MUNROE S,POLARIS/LORNA DANE,PSYLOCKE/ELISABETH B,MR. SINISTER/NATHAN ,DAZZLER II/ALLISON B,N'ASTIRH,LONGSHOT,TILBY TRISH/PATRICI,CYCLOPS/SCOTT SUMMER,CONOVER HANNAH,GATEWAY,WARLOCK III,SUNSPOT/ROBERTO DACO,MAGIK/ILLYANA RASPUT,WOLVERINE/LOGAN ,S'YM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESTINY II/IRENE ADL,BLOB/FRED J. DUKES,TORPEDO III/BROCK JO,PYRO/ALLERDYCE JOHNN,AVALANCHE/DOMINIC PE,ROGUE /,ROM SPACEKNIGHT,KILLBURN MACK,JONES TAMMY ANNE,JACKSON STEVE,STARSHINE II/BRANDY ,JONES DANIEL DANNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYBRID/JAMES JIMMY M,BLOB/FRED J. DUKES,TORPEDO III/BROCK JO,PYRO/ALLERDYCE JOHNN,AVALANCHE/DOMINIC PE,ROGUE /,DESTINY II/IRENE ADL,ROM SPACEKNIGHT,KILLBURN MACK,STARSHINE II/BRANDY ,JONES TAMMY ANNE,JACKSON STEVE,JONES LORRAINE LORR,JONES NELL,JONES DANIEL DANNY,CLARK JOHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARK SARAH,TORPEDO III/BROCK JO,KILLBURN MACK,STARSHINE II/BRANDY ,JONES TAMMY ANNE,JACKSON STEVE,JONES LORRAINE LORR,JONES NELL,ROM SPACEKNIGHT,JONES DANIEL DANNY,CLARK JOHN,HYBRID/JAMES JIMMY M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILLBURN MACK,TORPEDO III/BROCK JO,ROM SPACEKNIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JONES TAMMY ANNE,TORPEDO III/BROCK JO,KILLBURN MACK,STARSHINE II/BRANDY ,ROM SPACEKNIGHT,JONES LORRAINE LORR,JONES DANIEL DANNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JONES LORRAINE LORR,TORPEDO III/BROCK JO,KILLBURN MACK,STARSHINE II/BRANDY ,JONES TAMMY ANNE,JACKSON STEVE,ROM SPACEKNIGHT,JONES DANIEL DANNY,ROGUE /,DESTINY II/IRENE ADL,HYBRID/JAMES JIMMY M,MYSTIQUE/RAVEN DARKH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JONES NELL,TORPEDO III/BROCK JO,KILLBURN MACK,STARSHINE II/BRANDY ,JONES TAMMY ANNE,JACKSON STEVE,JONES LORRAINE LORR,ROM SPACEKNIGHT,JONES DANIEL DANNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JONES DANIEL DANNY,TORPEDO III/BROCK JO,KILLBURN MACK,STARSHINE II/BRANDY ,JONES TAMMY ANNE,JACKSON STEVE,JONES LORRAINE LORR,JONES NELL,ROM SPACEKNIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARK JOHN,TORPEDO III/BROCK JO,KILLBURN MACK,STARSHINE II/BRANDY ,JONES TAMMY ANNE,JACKSON STEVE,JONES LORRAINE LORR,JONES NELL,ROM SPACEKNIGHT,JONES DANIEL DANNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-MARINER/NAMOR MA,SEAWEED MAN,ROM SPACEKNIGHT,STARSHINE II/BRANDY ,BUCKY/BUCKY BARNES,DEAN BETTY,TORO/TOM RAYMOND,WHIZZER/ROBERT L. FR,MISS AMERICA/MADELIN,THIN MAN/BRUCE DICKS,RED RAVEN,KRIEGHUND COL.,UNION JACK/LORD MONT,BARON BLOOD/JOHN FAL,CAPTAIN AMERICA,SPITFIRE/LADY JACQUE,DRACULA/VLAD TEPES,HUMAN TORCH ANDROID/,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,OSBORN LIZ ALLAN,JAMESON J. JONAH,INVISIBLE WOMAN/SUE ,LEEDS BETTY BRANT,JONES RICHARD MILHO,HULK/DR. ROBERT BRUC,TALBOT GLENN,ROSS GEN. THADDEUS ,BANNER BETTY ROSS T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASHTI,SUB-MARINER/NAMOR MA,SEAWEED MAN,ROM SPACEKNIGHT,STARSHINE II/BRANDY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAWEED MAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA/RICHARD RIDER,FIRESTAR/ANGELICA JO,THUNDERBALL/DR. ELIO,NAMORITA/NITA PRENTI,SPEEDBALL/ROBBIE BAL,HULK/DR. ROBERT BRUC,NIGHT THRASHER/DUANE,SPIDER-MAN/PETER PAR,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRESTAR/ANGELICA JO,SPEEDBALL/ROBBIE BAL,NAMORITA/NITA PRENTI,HULK/DR. ROBERT BRUC,NIGHT THRASHER/DUANE,NOVA/RICHARD RIDER,WATSON-PARKER MARY ,SPEEDBALL II/DARRION,SPIDER-MAN/PETER PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THUNDERBALL/DR. ELIO,FIRESTAR/ANGELICA JO,SPIDER-MAN/PETER PAR,WATSON-PARKER MARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMORITA/NITA PRENTI,FIRESTAR/ANGELICA JO,THUNDERBALL/DR. ELIO,SPEEDBALL/ROBBIE BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEEDBALL/ROBBIE BAL,FIRESTAR/ANGELICA JO,THUNDERBALL/DR. ELIO,NAMORITA/NITA PRENTI,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,SILVER SURFER/NORRIN,VISION ,PSYLOCKE/ELISABETH B,MARVEL GIRL/JEAN GRE,STORM/ORORO MUNROE S,ETERNITY/ADAM QADMON,KISMET/J'RIDIA STARD,NIGHT THRASHER/DUANE,IN-BETWEENER,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,DEATH,MASTER ORDER,IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL,SCARLET WITCH/WANDA ,JUBILEE/JUBILATION L,THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE ,LORD CHAOS,INFINITY II,PUNISHER II/FRANK CA,HULK/DR. ROBERT BRUC,ANDROMEDA/ANDROMEDA ,BEAST/HENRY &HANK& P,GHOST RIDER III/DAN ,CYCLOPS/SCOTT SUMMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
